.model,date,points,.mean
ARIMA(points ~ trend() + season()),6/13/2025,N(6.4, 9.6)
ARIMA(points ~ trend() + season()),6/14/2025,N(0.21, 9.6)
ARIMA(points ~ trend() + season()),6/15/2025,N(0.21, 9.6)
ARIMA(points ~ trend() + season()),6/16/2025,N(0.21, 9.6)
ARIMA(points ~ trend() + season()),6/17/2025,N(0.21, 9.6)
ARIMA(points ~ trend() + season()),6/18/2025,N(0.21, 9.6)
ARIMA(points ~ trend() + season()),6/19/2025,N(0.21, 9.6)
ARIMA(points ~ trend() + season()),6/20/2025,N(4, 9.8)
ARIMA(points ~ trend() + season()),6/21/2025,N(0.18, 9.8)
ARIMA(points ~ trend() + season()),6/22/2025,N(0.18, 9.8)
ARIMA(points ~ trend() + season()),6/23/2025,N(0.18, 9.8)
ARIMA(points ~ trend() + season()),6/24/2025,N(0.18, 9.8)
ARIMA(points ~ trend() + season()),6/25/2025,N(0.18, 9.8)
ARIMA(points ~ trend() + season()),6/26/2025,N(0.18, 9.8)
ARIMA(points ~ trend() + season()),6/27/2025,N(5.2, 11)
ARIMA(points ~ trend() + season()),6/28/2025,N(0.25, 11)
ARIMA(points ~ trend() + season()),6/29/2025,N(0.25, 11)
ARIMA(points ~ trend() + season()),6/30/2025,N(0.25, 11)
ARIMA(points ~ trend() + season()),7/1/2025,N(0.25, 11)
ARIMA(points ~ trend() + season()),7/2/2025,N(0.25, 11)
ARIMA(points ~ trend() + season()),7/3/2025,N(0.25, 11)
ARIMA(points ~ trend() + season()),7/4/2025,N(4.8, 11)
ARIMA(points ~ trend() + season()),7/5/2025,N(0.26, 11)
ARIMA(points ~ trend() + season()),7/6/2025,N(0.26, 11)
ARIMA(points ~ trend() + season()),7/7/2025,N(0.26, 11)
ARIMA(points ~ trend() + season()),7/8/2025,N(0.26, 11)
ARIMA(points ~ trend() + season()),7/9/2025,N(0.26, 11)
ARIMA(points ~ trend() + season()),7/10/2025,N(0.26, 11)
ARIMA(points ~ trend() + season()),7/11/2025,N(5.1, 11)
ARIMA(points ~ trend() + season()),7/12/2025,N(0.3, 11)
ARIMA(points ~ trend() + season()),7/13/2025,N(0.3, 11)
ARIMA(points ~ trend() + season()),7/14/2025,N(0.3, 11)
ARIMA(points ~ trend() + season()),7/15/2025,N(0.3, 11)
ARIMA(points ~ trend() + season()),7/16/2025,N(0.3, 11)
ARIMA(points ~ trend() + season()),7/17/2025,N(0.3, 11)
ARIMA(points ~ trend() + season()),7/18/2025,N(5.1, 11)
ARIMA(points ~ trend() + season()),7/19/2025,N(0.32, 11)
ARIMA(points ~ trend() + season()),7/20/2025,N(0.32, 11)
ARIMA(points ~ trend() + season()),7/21/2025,N(0.32, 11)
ARIMA(points ~ trend() + season()),7/22/2025,N(0.32, 11)
ARIMA(points ~ trend() + season()),7/23/2025,N(0.32, 11)
ARIMA(points ~ trend() + season()),7/24/2025,N(0.32, 11)
ARIMA(points ~ trend() + season()),7/25/2025,N(5.2, 11)
ARIMA(points ~ trend() + season()),7/26/2025,N(0.34, 11)
ARIMA(points ~ trend() + season()),7/27/2025,N(0.34, 11)
ARIMA(points ~ trend() + season()),7/28/2025,N(0.34, 11)
ARIMA(points ~ trend() + season()),7/29/2025,N(0.34, 11)
ARIMA(points ~ trend() + season()),7/30/2025,N(0.34, 11)
ARIMA(points ~ trend() + season()),7/31/2025,N(0.34, 11)
ARIMA(points ~ trend() + season()),8/1/2025,N(5.3, 11)
ARIMA(points ~ trend() + season()),8/2/2025,N(0.36, 11)
ARIMA(points ~ trend() + season()),8/3/2025,N(0.36, 11)
ARIMA(points ~ trend() + season()),8/4/2025,N(0.36, 11)
ARIMA(points ~ trend() + season()),8/5/2025,N(0.36, 11)
ARIMA(points ~ trend() + season()),8/6/2025,N(0.36, 11)
ARIMA(points ~ trend() + season()),8/7/2025,N(0.36, 11)
ARIMA(points ~ trend() + season()),8/8/2025,N(5.3, 11)
ARIMA(points ~ trend() + season()),8/9/2025,N(0.37, 11)
ARIMA(points ~ trend() + season()),8/10/2025,N(0.37, 11)
ARIMA(points ~ trend() + season()),8/11/2025,N(0.37, 11)
ARIMA(points ~ trend() + season()),8/12/2025,N(0.37, 11)
ARIMA(points ~ trend() + season()),8/13/2025,N(0.37, 11)
ARIMA(points ~ trend() + season()),8/14/2025,N(0.37, 11)
ARIMA(points ~ trend() + season()),8/15/2025,N(5.4, 11)
ARIMA(points ~ trend() + season()),8/16/2025,N(0.39, 11)
ARIMA(points ~ trend() + season()),8/17/2025,N(0.39, 11)
ARIMA(points ~ trend() + season()),8/18/2025,N(0.39, 11)
ARIMA(points ~ trend() + season()),8/19/2025,N(0.39, 11)
ARIMA(points ~ trend() + season()),8/20/2025,N(0.39, 11)
ARIMA(points ~ trend() + season()),8/21/2025,N(0.39, 11)
ARIMA(points ~ trend() + season()),8/22/2025,N(5.4, 11)
ARIMA(points ~ trend() + season()),8/23/2025,N(0.4, 11)
ARIMA(points ~ trend() + season()),8/24/2025,N(0.4, 11)
ARIMA(points ~ trend() + season()),8/25/2025,N(0.4, 11)
ARIMA(points ~ trend() + season()),8/26/2025,N(0.4, 11)
ARIMA(points ~ trend() + season()),8/27/2025,N(0.4, 11)
ARIMA(points ~ trend() + season()),8/28/2025,N(0.4, 11)
ARIMA(points ~ trend() + season()),8/29/2025,N(5.4, 11)
ARIMA(points ~ trend() + season()),8/30/2025,N(0.41, 11)
ARIMA(points ~ trend() + season()),8/31/2025,N(0.41, 11)
ARIMA(points ~ trend() + season()),9/1/2025,N(0.41, 11)
ARIMA(points ~ trend() + season()),9/2/2025,N(0.41, 11)
ARIMA(points ~ trend() + season()),9/3/2025,N(0.41, 11)
ARIMA(points ~ trend() + season()),9/4/2025,N(0.41, 11)
ARIMA(points ~ trend() + season()),9/5/2025,N(5.5, 11)
ARIMA(points ~ trend() + season()),9/6/2025,N(0.42, 11)
ARIMA(points ~ trend() + season()),9/7/2025,N(0.42, 11)
ARIMA(points ~ trend() + season()),9/8/2025,N(0.42, 11)
ARIMA(points ~ trend() + season()),9/9/2025,N(0.42, 11)
ARIMA(points ~ trend() + season()),9/10/2025,N(0.42, 11)
ARIMA(points ~ trend() + season()),9/11/2025,N(0.42, 11)
ARIMA(points ~ trend() + season()),9/12/2025,N(5.5, 11)
ARIMA(points ~ trend() + season()),9/13/2025,N(0.43, 11)
ARIMA(points ~ trend() + season()),9/14/2025,N(0.43, 11)
ARIMA(points ~ trend() + season()),9/15/2025,N(0.43, 11)
ARIMA(points ~ trend() + season()),9/16/2025,N(0.43, 11)
ARIMA(points ~ trend() + season()),9/17/2025,N(0.43, 11)
ARIMA(points ~ trend() + season()),9/18/2025,N(0.43, 11)
ARIMA(points ~ trend() + season()),9/19/2025,N(5.5, 11)
ARIMA(points ~ trend() + season()),9/20/2025,N(0.44, 11)
ARIMA(points ~ trend() + season()),9/21/2025,N(0.44, 11)
ARIMA(points ~ trend() + season()),9/22/2025,N(0.44, 11)
